categoria_do_encargo;tipo_do_encargo;codigo_do_encargo;valor_total_do_carne;parcelas;taxa_de_desconto_%;vencimento_da_primeira_parcela;valor_da_primeira_parcela;codigo_de_barras;complemento_despesa;calcular_taxa_de_administracao_sobre_o_servico;conta_bancaria;
1;1;2344;2648.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2425;607.44;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2426;747.12;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2427;803.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2429;914.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2430;281.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2475;865.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2476;1163.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2477;614.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2478;845.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2481;845.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2482;848.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2610;67.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2729;615.68;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2730;546.64;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2779;1018.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2780;589.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2781;589.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2782;589.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2885;589.44;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2914;662.4;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;2915;662.4;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3006;1701.28;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3062;601.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3066;713.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3067;708.96;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3478;696;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3566;618;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3645;591.44;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3645;591.44;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3657;266.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3673;384.4;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;3830;640.48;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4056;321.68;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4245;506.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4253;433.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4254;511.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4279;193.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4321;570.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4401;791.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4458;643.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4459;653.76;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4460;643.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;4461;653.76;8;;10/05/2024;;;IPTU 2024;0;6;
