categoria_do_encargo;tipo_do_encargo;codigo_do_encargo;valor_total_do_carne;parcelas;taxa_de_desconto_%;vencimento_da_primeira_parcela;valor_da_primeira_parcela;codigo_de_barras;complemento_despesa;calcular_taxa_de_administracao_sobre_o_servico;conta_bancaria;
1;1;32717;342.98;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1698;1207.77;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;30875;250.1;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;30907;16.98;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;371;802.43;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;8724;605.43;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;8759;710.1;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;30681;17.84;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;30652;671.63;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32093;230.8;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32143;12.53;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;13059;662.73;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;10296;234.00;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;12061;396.23;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32604;163.7;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;34688;391.45;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;34689;331.00;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;34691;333.98;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2922;1370.04;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2923;1630.38;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;13504;671.18;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;39681;445.7;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;39682;445.7;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;39683;84.91;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;42133;212.51;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;42918;429.45;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;22459;429.45;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;23596;327.25;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35245;269.13;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;46931;170.83;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;33187;249.41;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1982;847.66;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2049;786.19;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;3062;628.33;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;3070;38.44;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;29003;16.64;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;29015;229.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2048;786.19;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2056;48.09;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;612;1561.83;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;45129;775.23;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32842;261.18;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;12264;573.89;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;31910;260.13;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;34888;417.31;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;332;855.87;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;502;1607.09;1;;23/04/2025;;;IPTU 2025;0;6;
1;1;11638;197.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;21846;390.72;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;31302;330.53;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;30880;250.1;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;30912;16.98;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;34420;284.83;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6300;583.91;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;15426;690.87;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;33177;249.41;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;33286;264.91;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;46143;176.09;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32995;273.9;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6342;450.43;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6349;36.14;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;34865;380.01;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;3521;821.35;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35122;715.57;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;41747;16170.54;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28569;949.05;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28570;866.18;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28571;884.29;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28572;921.05;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28577;14.46;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;2779;1063.79;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2780;615.84;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2781;615.84;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;36370;615.84;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2782;615.84;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;36371;615.84;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;36372;615.84;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;36373;583.3;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;36374;583.3;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6378;527.2;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6379;472.63;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6380;527.2;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6381;511.12;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6382;511.12;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;7421;214.71;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;31887;260.82;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;33285;272.34;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35828;713.47;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35843;17.88;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;29706;24.77;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;29718;283.26;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;31929;260.13;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35142;658.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;31231;275.75;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;44640;67.91;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2329;877.4;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2331;1127.39;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;25680;563.25;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2210;643.78;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;20065;183.41;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;72;4414.98;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11271;423.32;1;;23/04/2025;;;IPTU 2025;0;6;
1;1;11272;468.44;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11273;468.44;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11274;468.44;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;11276;15.61;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11278;21.32;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11279;12.49;1;;23/04/2025;;;IPTU 2025;0;6;
1;1;11280;15.61;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;11281;21.32;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;402;1585.48;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28561;949.05;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28562;866.18;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28563;884.29;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28564;921.05;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28575;14.46;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;28576;14.46;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;28579;14.46;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;28580;14.46;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;28560;1398.1;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28565;949.05;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28566;866.18;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28567;884.29;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28568;921.05;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28573;14.46;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;28574;14.46;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;28581;14.46;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;28582;14.46;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;1310;1539.08;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1879;2355.77;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6377;540.99;1;;23/04/2025;;;IPTU 2025;0;6;
1;1;14377;1255.91;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;14378;1027.35;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;14626;2159.00;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1618;836.02;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1650;27.89;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;30650;654.43;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;28856;599.58;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;2885;615.5;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4949;580.91;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;36892;445.65;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;25069;443.18;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;25068;1369.05;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;43779;29.57;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;1846;3862.72;8;;20/05/2025;;;IPTU 2025;0;6;
