Ano;Descrição;Nº parc.;Sub. parc.;Tipo Débito;Dt. vcto.;Vlr. parcela;Desconto;Vlr. juros;Vlr. multa;Vlr. correção;Vlr. honorário;Vlr. corrigido;Pagamento;Ações
2024;Parcela 1;1;0;Dívida ativa;20/05/2024;10.650,86;0,00;982,01;1.091,12;260,32;0,00;12.984,31;Recalcular;
2024;Parcela 2;2;0;Dívida ativa;20/06/2024;10.650,86;0,00;868,90;1.086,12;210,36;0,00;12.816,24;Recalcular;
2024;Parcela 3;3;0;Dívida ativa;22/07/2024;10.650,86;0,00;758,69;1.083,85;187,60;0,00;12.681,00;Recalcular;
2024;Parcela 4;4;0;Dívida ativa;20/08/2024;10.650,86;0,00;647,85;1.079,74;146,57;0,00;12.525,02;Recalcular;
2024;Parcela 5;5;0;Dívida ativa;20/09/2024;10.650,86;0,00;539,98;1.079,96;148,73;0,00;12.419,53;Recalcular;
2024;Parcela 6;6;0;Dívida ativa;21/10/2024;10.650,86;0,00;430,09;1.075,23;101,42;0,00;12.257,60;Recalcular;
2024;Parcela 7;7;0;Dívida ativa;20/11/2024;10.650,86;0,00;320,77;1.069,24;41,54;0,00;12.082,41;Recalcular;
2024;Parcela 8;8;0;Dívida ativa;20/12/2024;10.650,82;0,00;213,02;532,54;0,00;0,00;11.396,38;Recalcular;
Total de registros: 8;Total de valores*:;85.206,84;0,00;4.761,31;8.097,80;1.096,54;0,00;99.162,49;;
